Date of Crash,Crash Severity,Crashes
09/10/2020,Minor Injury,10
09/10/2020,Property Damage Only,118
09/11/2020,Minor Injury,15
09/11/2020,Major Injury,4
09/11/2020,Property Damage Only,143
09/11/2020,Possible/Unknown,29
09/11/2020,Fatal,1
09/12/2020,Fatal,2
09/12/2020,Possible/Unknown,18
09/12/2020,Property Damage Only,83
09/12/2020,Major Injury,4
09/12/2020,Minor Injury,13
09/13/2020,Fatal,1
09/13/2020,Property Damage Only,58
09/13/2020,Major Injury,5
09/13/2020,Possible/Unknown,15
09/13/2020,Minor Injury,12
09/14/2020,Property Damage Only,86
09/14/2020,Possible/Unknown,25
09/14/2020,Major Injury,3
09/14/2020,Minor Injury,17
09/15/2020,Major Injury,5
09/15/2020,Possible/Unknown,25
09/15/2020,Fatal,1
09/15/2020,Property Damage Only,92
09/15/2020,Minor Injury,20
09/16/2020,Major Injury,3
09/16/2020,Possible/Unknown,24
09/16/2020,Property Damage Only,84
09/16/2020,Minor Injury,25
09/16/2020,Fatal,1
09/17/2020,Property Damage Only,98
09/17/2020,Possible/Unknown,21
09/17/2020,Major Injury,4
09/17/2020,Minor Injury,15
09/18/2020,Property Damage Only,93
09/18/2020,Major Injury,4
09/18/2020,Minor Injury,13
09/18/2020,Fatal,1
09/18/2020,Possible/Unknown,20
09/19/2020,Possible/Unknown,28
09/19/2020,Major Injury,9
09/19/2020,Fatal,2
09/19/2020,Property Damage Only,81
09/19/2020,Minor Injury,21
09/20/2020,Minor Injury,12
09/20/2020,Fatal,2
09/20/2020,Major Injury,2
09/20/2020,Possible/Unknown,14
09/20/2020,Property Damage Only,61
09/21/2020,Major Injury,1
09/21/2020,Property Damage Only,91
09/21/2020,Minor Injury,16
09/21/2020,Fatal,1
09/21/2020,Possible/Unknown,24
09/22/2020,Major Injury,2
09/22/2020,Possible/Unknown,22
09/22/2020,Minor Injury,22
09/22/2020,Fatal,1
09/22/2020,Property Damage Only,105
09/23/2020,Property Damage Only,109
09/23/2020,Fatal,2
09/23/2020,Minor Injury,12
09/23/2020,Possible/Unknown,22
09/23/2020,Major Injury,3
09/24/2020,Property Damage Only,118
09/24/2020,Major Injury,4
09/24/2020,Minor Injury,16
09/24/2020,Possible/Unknown,31
09/24/2020,Fatal,3
09/25/2020,Major Injury,9
09/25/2020,Possible/Unknown,28
09/25/2020,Fatal,1
09/25/2020,Property Damage Only,120
09/25/2020,Minor Injury,22
09/26/2020,Major Injury,6
09/26/2020,Possible/Unknown,19
09/26/2020,Minor Injury,23
09/26/2020,Fatal,3
09/26/2020,Property Damage Only,86
09/27/2020,Minor Injury,7
09/27/2020,Possible/Unknown,23
09/27/2020,Major Injury,2
09/27/2020,Fatal,1
09/27/2020,Property Damage Only,63
09/28/2020,Possible/Unknown,17
09/28/2020,Property Damage Only,97
09/28/2020,Minor Injury,8
09/28/2020,Fatal,1
09/28/2020,Major Injury,2
09/29/2020,Possible/Unknown,31
09/29/2020,Major Injury,3
09/29/2020,Fatal,1
09/29/2020,Minor Injury,15
09/29/2020,Property Damage Only,112
09/30/2020,Property Damage Only,95
09/30/2020,Minor Injury,15
09/30/2020,Major Injury,5
09/30/2020,Possible/Unknown,23
09/30/2020,Fatal,1
10/01/2020,Property Damage Only,104
10/01/2020,Major Injury,5
10/01/2020,Minor Injury,13
10/01/2020,Fatal,2
10/01/2020,Possible/Unknown,18
10/02/2020,Possible/Unknown,26
10/02/2020,Property Damage Only,149
10/02/2020,Minor Injury,18
10/02/2020,Fatal,1
10/02/2020,Major Injury,4
10/03/2020,Minor Injury,11
10/03/2020,Possible/Unknown,18
10/03/2020,Property Damage Only,102
10/03/2020,Major Injury,1
10/04/2020,Property Damage Only,81
10/04/2020,Major Injury,4
10/04/2020,Possible/Unknown,21
10/04/2020,Minor Injury,12
10/05/2020,Property Damage Only,106
10/05/2020,Minor Injury,9
10/05/2020,Major Injury,3
10/05/2020,Possible/Unknown,23
10/05/2020,Fatal,3
10/06/2020,Minor Injury,11
10/06/2020,Property Damage Only,96
10/06/2020,Major Injury,4
10/06/2020,Possible/Unknown,28
10/07/2020,Major Injury,2
10/07/2020,Property Damage Only,103
10/07/2020,Possible/Unknown,21
10/07/2020,Minor Injury,19
10/08/2020,Property Damage Only,120
10/08/2020,Minor Injury,15
10/08/2020,Possible/Unknown,28
10/08/2020,Major Injury,3
10/09/2020,Minor Injury,36
10/09/2020,Major Injury,7
10/09/2020,Property Damage Only,123
10/09/2020,Possible/Unknown,25
10/09/2020,Fatal,1
10/10/2020,Fatal,2
10/10/2020,Minor Injury,19
10/10/2020,Major Injury,4
10/10/2020,Property Damage Only,81
10/10/2020,Possible/Unknown,29
10/11/2020,Possible/Unknown,18
10/11/2020,Major Injury,4
10/11/2020,Minor Injury,20
10/11/2020,Property Damage Only,105
10/11/2020,Fatal,1
10/12/2020,Major Injury,4
10/12/2020,Minor Injury,12
10/12/2020,Property Damage Only,102
10/12/2020,Possible/Unknown,23
10/12/2020,Fatal,2
10/13/2020,Property Damage Only,92
10/13/2020,Minor Injury,19
10/13/2020,Major Injury,2
10/13/2020,Possible/Unknown,19
10/14/2020,Possible/Unknown,22
10/14/2020,Fatal,1
10/14/2020,Minor Injury,23
10/14/2020,Property Damage Only,93
10/14/2020,Major Injury,2
10/15/2020,Major Injury,3
10/15/2020,Possible/Unknown,24
10/15/2020,Property Damage Only,111
10/15/2020,Minor Injury,16
10/16/2020,Property Damage Only,119
10/16/2020,Minor Injury,17
10/16/2020,Possible/Unknown,23
10/16/2020,Major Injury,1
10/17/2020,Major Injury,2
10/17/2020,Property Damage Only,100
10/17/2020,Minor Injury,15
10/17/2020,Possible/Unknown,20
10/18/2020,Possible/Unknown,20
10/18/2020,Property Damage Only,89
10/18/2020,Major Injury,1
10/18/2020,Minor Injury,12
10/18/2020,Fatal,2
10/19/2020,Possible/Unknown,29
10/19/2020,Fatal,1
10/19/2020,Property Damage Only,150
10/19/2020,Minor Injury,17
10/20/2020,Fatal,1
10/20/2020,Possible/Unknown,26
10/20/2020,Minor Injury,12
10/20/2020,Major Injury,3
10/20/2020,Property Damage Only,126
10/21/2020,Possible/Unknown,25
10/21/2020,Property Damage Only,100
10/21/2020,Major Injury,3
10/21/2020,Minor Injury,13
10/22/2020,Property Damage Only,103
10/22/2020,Major Injury,2
10/22/2020,Minor Injury,16
10/22/2020,Fatal,1
10/22/2020,Possible/Unknown,35
10/23/2020,Property Damage Only,134
10/23/2020,Possible/Unknown,22
10/23/2020,Major Injury,1
10/23/2020,Minor Injury,8
10/24/2020,Major Injury,3
10/24/2020,Minor Injury,10
10/24/2020,Property Damage Only,112
10/24/2020,Possible/Unknown,22
10/25/2020,Possible/Unknown,36
10/25/2020,Minor Injury,9
10/25/2020,Property Damage Only,136
10/25/2020,Major Injury,7
10/26/2020,Possible/Unknown,42
10/26/2020,Property Damage Only,228
10/26/2020,Major Injury,6
10/26/2020,Minor Injury,25
10/27/2020,Possible/Unknown,15
10/27/2020,Property Damage Only,122
10/27/2020,Minor Injury,13
10/28/2020,Property Damage Only,125
10/28/2020,Possible/Unknown,19
10/28/2020,Minor Injury,20
10/28/2020,Fatal,2
10/28/2020,Major Injury,2
10/29/2020,Property Damage Only,133
10/29/2020,Minor Injury,12
10/29/2020,Fatal,1
10/29/2020,Possible/Unknown,20
10/30/2020,Possible/Unknown,30
10/30/2020,Major Injury,4
10/30/2020,Minor Injury,18
10/30/2020,Property Damage Only,174
10/30/2020,Fatal,2
10/31/2020,Minor Injury,14
10/31/2020,Property Damage Only,122
10/31/2020,Major Injury,4
10/31/2020,Possible/Unknown,27
11/01/2020,Major Injury,2
11/01/2020,Fatal,1
11/01/2020,Minor Injury,11
11/01/2020,Possible/Unknown,21
11/01/2020,Property Damage Only,114
11/02/2020,Minor Injury,10
11/02/2020,Possible/Unknown,31
11/02/2020,Property Damage Only,115
11/02/2020,Major Injury,4
11/03/2020,Minor Injury,14
11/03/2020,Major Injury,5
11/03/2020,Property Damage Only,145
11/03/2020,Possible/Unknown,32
11/04/2020,Major Injury,6
11/04/2020,Property Damage Only,128
11/04/2020,Possible/Unknown,25
11/04/2020,Minor Injury,21
11/05/2020,Minor Injury,19
11/05/2020,Property Damage Only,128
11/05/2020,Possible/Unknown,19
11/05/2020,Major Injury,3
11/05/2020,Fatal,1
11/06/2020,Possible/Unknown,36
11/06/2020,Fatal,2
11/06/2020,Major Injury,5
11/06/2020,Minor Injury,18
11/06/2020,Property Damage Only,148
11/07/2020,Minor Injury,14
11/07/2020,Fatal,1
11/07/2020,Possible/Unknown,19
11/07/2020,Major Injury,3
11/07/2020,Property Damage Only,119
11/08/2020,Property Damage Only,124
11/08/2020,Minor Injury,8
11/08/2020,Possible/Unknown,15
11/08/2020,Major Injury,8
11/09/2020,Property Damage Only,129
11/09/2020,Major Injury,3
11/09/2020,Minor Injury,9
11/09/2020,Possible/Unknown,19
11/10/2020,Property Damage Only,198
11/10/2020,Major Injury,3
11/10/2020,Fatal,3
11/10/2020,Possible/Unknown,24
11/10/2020,Minor Injury,6
11/11/2020,Possible/Unknown,17
11/11/2020,Property Damage Only,168
11/11/2020,Major Injury,2
11/11/2020,Minor Injury,11
11/12/2020,Property Damage Only,123
11/12/2020,Minor Injury,10
11/12/2020,Fatal,2
11/12/2020,Major Injury,2
11/12/2020,Possible/Unknown,25
11/13/2020,Property Damage Only,143
11/13/2020,Major Injury,3
11/13/2020,Possible/Unknown,25
11/13/2020,Fatal,1
11/13/2020,Minor Injury,9
11/14/2020,Possible/Unknown,19
11/14/2020,Property Damage Only,106
11/14/2020,Minor Injury,4
11/14/2020,Major Injury,4
11/15/2020,Possible/Unknown,17
11/15/2020,Fatal,2
11/15/2020,Property Damage Only,91
11/15/2020,Major Injury,2
11/15/2020,Minor Injury,11
11/16/2020,Property Damage Only,127
11/16/2020,Major Injury,4
11/16/2020,Possible/Unknown,20
11/16/2020,Minor Injury,12
11/17/2020,Fatal,1
11/17/2020,Minor Injury,18
11/17/2020,Major Injury,7
11/17/2020,Property Damage Only,103
11/17/2020,Possible/Unknown,27
11/18/2020,Possible/Unknown,20
11/18/2020,Major Injury,3
11/18/2020,Minor Injury,8
11/18/2020,Fatal,1
11/18/2020,Property Damage Only,118
11/19/2020,Minor Injury,13
11/19/2020,Major Injury,3
11/19/2020,Property Damage Only,112
11/19/2020,Fatal,4
11/19/2020,Possible/Unknown,29
11/20/2020,Possible/Unknown,31
11/20/2020,Fatal,1
11/20/2020,Major Injury,4
11/20/2020,Minor Injury,13
11/20/2020,Property Damage Only,132
11/21/2020,Major Injury,5
11/21/2020,Possible/Unknown,19
11/21/2020,Property Damage Only,86
11/21/2020,Minor Injury,8
11/21/2020,Fatal,1
11/22/2020,Major Injury,1
11/22/2020,Fatal,1
11/22/2020,Possible/Unknown,12
11/22/2020,Property Damage Only,74
11/22/2020,Minor Injury,4
11/23/2020,Minor Injury,19
11/23/2020,Possible/Unknown,18
11/23/2020,Major Injury,2
11/23/2020,Property Damage Only,127
11/24/2020,Possible/Unknown,29
11/24/2020,Minor Injury,11
11/24/2020,Property Damage Only,130
11/24/2020,Major Injury,2
11/25/2020,Major Injury,2
11/25/2020,Property Damage Only,144
11/25/2020,Possible/Unknown,29
11/25/2020,Minor Injury,7
11/26/2020,Major Injury,3
11/26/2020,Property Damage Only,74
11/26/2020,Minor Injury,5
11/26/2020,Fatal,2
11/26/2020,Possible/Unknown,17
11/27/2020,Major Injury,3
11/27/2020,Possible/Unknown,19
11/27/2020,Property Damage Only,80
11/27/2020,Minor Injury,7
11/28/2020,Major Injury,6
11/28/2020,Minor Injury,6
11/28/2020,Possible/Unknown,15
11/28/2020,Property Damage Only,72
11/29/2020,Possible/Unknown,13
11/29/2020,Fatal,1
11/29/2020,Minor Injury,7
11/29/2020,Major Injury,3
11/29/2020,Property Damage Only,65
11/30/2020,Minor Injury,11
11/30/2020,Possible/Unknown,15
11/30/2020,Major Injury,4
11/30/2020,Property Damage Only,100
12/01/2020,Major Injury,1
12/01/2020,Property Damage Only,93
12/01/2020,Fatal,3
12/01/2020,Possible/Unknown,21
12/01/2020,Minor Injury,9
12/02/2020,Minor Injury,9
12/02/2020,Major Injury,1
12/02/2020,Possible/Unknown,12
12/02/2020,Property Damage Only,105
12/03/2020,Major Injury,3
12/03/2020,Possible/Unknown,15
12/03/2020,Fatal,1
12/03/2020,Minor Injury,16
12/03/2020,Property Damage Only,104
12/04/2020,Property Damage Only,100
12/04/2020,Major Injury,1
12/04/2020,Possible/Unknown,37
12/04/2020,Minor Injury,12
12/05/2020,Minor Injury,10
12/05/2020,Major Injury,1
12/05/2020,Possible/Unknown,13
12/05/2020,Fatal,1
12/05/2020,Property Damage Only,88
12/06/2020,Minor Injury,8
12/06/2020,Fatal,2
12/06/2020,Possible/Unknown,14
12/06/2020,Property Damage Only,90
12/07/2020,Minor Injury,6
12/07/2020,Property Damage Only,97
12/07/2020,Possible/Unknown,18
12/07/2020,Major Injury,5
12/07/2020,Fatal,1
12/08/2020,Possible/Unknown,20
12/08/2020,Property Damage Only,103
12/08/2020,Minor Injury,10
12/08/2020,Fatal,2
12/08/2020,Major Injury,2
12/09/2020,Possible/Unknown,29
12/09/2020,Minor Injury,13
12/09/2020,Property Damage Only,87
12/09/2020,Major Injury,3
12/10/2020,Possible/Unknown,13
12/10/2020,Minor Injury,16
12/10/2020,Fatal,1
12/10/2020,Property Damage Only,102
12/10/2020,Major Injury,3
12/11/2020,Minor Injury,15
12/11/2020,Possible/Unknown,40
12/11/2020,Property Damage Only,155
12/11/2020,Major Injury,2
12/12/2020,Possible/Unknown,36
12/12/2020,Major Injury,2
12/12/2020,Property Damage Only,224
12/12/2020,Fatal,2
12/12/2020,Minor Injury,17
12/13/2020,Possible/Unknown,15
12/13/2020,Property Damage Only,70
12/13/2020,Minor Injury,3
12/13/2020,Major Injury,3
12/13/2020,Fatal,1
12/14/2020,Possible/Unknown,18
12/14/2020,Property Damage Only,110
12/14/2020,Fatal,1
12/14/2020,Minor Injury,6
12/15/2020,Minor Injury,8
12/15/2020,Property Damage Only,94
12/15/2020,Major Injury,1
12/15/2020,Fatal,1
12/15/2020,Possible/Unknown,10
12/16/2020,Minor Injury,9
12/16/2020,Major Injury,4
12/16/2020,Possible/Unknown,18
12/16/2020,Property Damage Only,102
12/17/2020,Property Damage Only,117
12/17/2020,Minor Injury,6
12/17/2020,Major Injury,4
12/17/2020,Possible/Unknown,23
12/17/2020,Fatal,4
12/18/2020,Minor Injury,16
12/18/2020,Possible/Unknown,20
12/18/2020,Major Injury,3
12/18/2020,Property Damage Only,108
12/18/2020,Fatal,1
12/19/2020,Possible/Unknown,17
12/19/2020,Minor Injury,9
12/19/2020,Property Damage Only,83
12/19/2020,Major Injury,2
12/20/2020,Possible/Unknown,14
12/20/2020,Property Damage Only,82
12/20/2020,Major Injury,2
12/20/2020,Fatal,2
12/20/2020,Minor Injury,5
12/21/2020,Fatal,2
12/21/2020,Property Damage Only,128
12/21/2020,Possible/Unknown,23
12/21/2020,Major Injury,1
12/21/2020,Minor Injury,17
12/22/2020,Major Injury,1
12/22/2020,Possible/Unknown,23
12/22/2020,Minor Injury,12
12/22/2020,Fatal,1
12/22/2020,Property Damage Only,125
12/23/2020,Property Damage Only,176
12/23/2020,Minor Injury,29
12/23/2020,Possible/Unknown,36
12/24/2020,Property Damage Only,102
12/24/2020,Minor Injury,10
12/24/2020,Possible/Unknown,29
12/25/2020,Major Injury,1
12/25/2020,Property Damage Only,55
12/25/2020,Possible/Unknown,9
12/25/2020,Minor Injury,5
12/26/2020,Major Injury,4
12/26/2020,Property Damage Only,87
12/26/2020,Possible/Unknown,20
12/26/2020,Fatal,3
12/26/2020,Minor Injury,5
12/27/2020,Property Damage Only,194
12/27/2020,Possible/Unknown,34
12/27/2020,Major Injury,6
12/27/2020,Minor Injury,27
12/28/2020,Minor Injury,7
12/28/2020,Possible/Unknown,24
12/28/2020,Property Damage Only,118
12/28/2020,Major Injury,3
12/29/2020,Major Injury,3
12/29/2020,Minor Injury,13
12/29/2020,Property Damage Only,174
12/29/2020,Possible/Unknown,28
12/30/2020,Property Damage Only,126
12/30/2020,Minor Injury,12
12/30/2020,Possible/Unknown,30
12/30/2020,Major Injury,1
12/31/2020,Minor Injury,8
12/31/2020,Possible/Unknown,27
12/31/2020,Property Damage Only,97
01/01/2021,Major Injury,1
01/01/2021,Minor Injury,19
01/01/2021,Possible/Unknown,25
01/01/2021,Property Damage Only,89
01/01/2021,Fatal,1
01/02/2021,Major Injury,3
01/02/2021,Minor Injury,6
01/02/2021,Possible/Unknown,15
01/02/2021,Property Damage Only,78
01/03/2021,Property Damage Only,70
01/03/2021,Major Injury,2
01/03/2021,Minor Injury,7
01/03/2021,Possible/Unknown,21
01/04/2021,Major Injury,5
01/04/2021,Minor Injury,14
01/04/2021,Property Damage Only,129
01/04/2021,Fatal,1
01/04/2021,Possible/Unknown,32
01/05/2021,Minor Injury,13
01/05/2021,Fatal,1
01/05/2021,Property Damage Only,123
01/05/2021,Possible/Unknown,25
01/05/2021,Major Injury,3
01/06/2021,Possible/Unknown,24
01/06/2021,Property Damage Only,87
01/06/2021,Minor Injury,12
01/06/2021,Major Injury,2
01/07/2021,Minor Injury,4
01/07/2021,Property Damage Only,104
01/07/2021,Major Injury,1
01/07/2021,Possible/Unknown,13
01/08/2021,Property Damage Only,109
01/08/2021,Minor Injury,4
01/08/2021,Possible/Unknown,13
01/08/2021,Major Injury,2
01/09/2021,Minor Injury,10
01/09/2021,Property Damage Only,77
01/09/2021,Possible/Unknown,16
01/10/2021,Major Injury,2
01/10/2021,Minor Injury,5
01/10/2021,Possible/Unknown,22
01/10/2021,Fatal,1
01/10/2021,Property Damage Only,68
01/11/2021,Fatal,1
01/11/2021,Major Injury,3
01/11/2021,Possible/Unknown,19
01/11/2021,Property Damage Only,114
01/11/2021,Minor Injury,8
01/12/2021,Major Injury,1
01/12/2021,Property Damage Only,113
01/12/2021,Possible/Unknown,20
01/12/2021,Minor Injury,10
01/13/2021,Property Damage Only,96
01/13/2021,Major Injury,3
01/13/2021,Possible/Unknown,19
01/13/2021,Minor Injury,13
01/14/2021,Minor Injury,8
01/14/2021,Fatal,1
01/14/2021,Property Damage Only,142
01/14/2021,Possible/Unknown,31
01/15/2021,Property Damage Only,210
01/15/2021,Possible/Unknown,36
01/15/2021,Major Injury,4
01/15/2021,Minor Injury,13
01/16/2021,Fatal,1
01/16/2021,Possible/Unknown,21
01/16/2021,Property Damage Only,98
01/16/2021,Major Injury,5
01/16/2021,Minor Injury,8
01/17/2021,Property Damage Only,116
01/17/2021,Major Injury,3
01/17/2021,Minor Injury,9
01/17/2021,Possible/Unknown,21
01/18/2021,Fatal,1
01/18/2021,Possible/Unknown,12
01/18/2021,Minor Injury,6
01/18/2021,Property Damage Only,92
01/18/2021,Major Injury,1
01/19/2021,Minor Injury,18
01/19/2021,Possible/Unknown,25
01/19/2021,Major Injury,4
01/19/2021,Fatal,1
01/19/2021,Property Damage Only,160
01/20/2021,Fatal,1
01/20/2021,Major Injury,4
01/20/2021,Property Damage Only,105
01/20/2021,Minor Injury,10
01/20/2021,Possible/Unknown,25
01/21/2021,Major Injury,3
01/21/2021,Fatal,2
01/21/2021,Property Damage Only,77
01/21/2021,Possible/Unknown,17
01/21/2021,Minor Injury,11
01/22/2021,Major Injury,2
01/22/2021,Property Damage Only,119
01/22/2021,Minor Injury,9
01/22/2021,Possible/Unknown,25
01/23/2021,Property Damage Only,95
01/23/2021,Major Injury,4
01/23/2021,Possible/Unknown,20
01/23/2021,Minor Injury,9
01/24/2021,Property Damage Only,74
01/24/2021,Possible/Unknown,15
01/24/2021,Major Injury,4
01/24/2021,Minor Injury,4
01/25/2021,Property Damage Only,170
01/25/2021,Possible/Unknown,22
01/25/2021,Major Injury,3
01/25/2021,Minor Injury,12
01/26/2021,Property Damage Only,153
01/26/2021,Minor Injury,10
01/26/2021,Possible/Unknown,25
01/27/2021,Minor Injury,5
01/27/2021,Possible/Unknown,23
01/27/2021,Property Damage Only,112
01/28/2021,Possible/Unknown,20
01/28/2021,Major Injury,1
01/28/2021,Property Damage Only,105
01/28/2021,Minor Injury,10
01/29/2021,Property Damage Only,121
01/29/2021,Fatal,1
01/29/2021,Major Injury,1
01/29/2021,Minor Injury,12
01/29/2021,Possible/Unknown,29
01/30/2021,Possible/Unknown,23
01/30/2021,Property Damage Only,135
01/30/2021,Minor Injury,11
01/31/2021,Fatal,1
01/31/2021,Possible/Unknown,19
01/31/2021,Minor Injury,11
01/31/2021,Property Damage Only,90
02/01/2021,Property Damage Only,107
02/01/2021,Fatal,2
02/01/2021,Major Injury,3
02/01/2021,Minor Injury,10
02/01/2021,Possible/Unknown,19
02/02/2021,Property Damage Only,86
02/02/2021,Major Injury,1
02/02/2021,Possible/Unknown,22
02/02/2021,Minor Injury,9
02/02/2021,Fatal,1
02/03/2021,Minor Injury,2
02/03/2021,Possible/Unknown,23
02/03/2021,Major Injury,2
02/03/2021,Fatal,1
02/03/2021,Property Damage Only,116
02/04/2021,Property Damage Only,329
02/04/2021,Possible/Unknown,34
02/04/2021,Minor Injury,32
02/04/2021,Fatal,1
02/04/2021,Major Injury,6
02/05/2021,Property Damage Only,240
02/05/2021,Possible/Unknown,52
02/05/2021,Major Injury,1
02/05/2021,Minor Injury,9
02/06/2021,Minor Injury,21
02/06/2021,Possible/Unknown,39
02/06/2021,Property Damage Only,202
02/06/2021,Major Injury,1
02/07/2021,Minor Injury,15
02/07/2021,Property Damage Only,125
02/07/2021,Major Injury,1
02/07/2021,Possible/Unknown,23
02/08/2021,Possible/Unknown,42
02/08/2021,Property Damage Only,246
02/08/2021,Minor Injury,20
02/08/2021,Major Injury,5
02/08/2021,Fatal,1
02/09/2021,Minor Injury,25
02/09/2021,Major Injury,1
02/09/2021,Property Damage Only,139
02/09/2021,Possible/Unknown,45
02/10/2021,Possible/Unknown,36
02/10/2021,Property Damage Only,108
02/10/2021,Minor Injury,7
02/11/2021,Possible/Unknown,31
02/11/2021,Property Damage Only,178
02/11/2021,Major Injury,1
02/11/2021,Minor Injury,13
02/12/2021,Major Injury,1
02/12/2021,Minor Injury,15
02/12/2021,Possible/Unknown,40
02/12/2021,Property Damage Only,183
02/13/2021,Possible/Unknown,29
02/13/2021,Major Injury,3
02/13/2021,Minor Injury,16
02/13/2021,Property Damage Only,211
02/14/2021,Possible/Unknown,23
02/14/2021,Property Damage Only,94
02/14/2021,Minor Injury,10
02/15/2021,Minor Injury,5
02/15/2021,Fatal,1
02/15/2021,Possible/Unknown,23
02/15/2021,Property Damage Only,105
02/16/2021,Possible/Unknown,29
02/16/2021,Minor Injury,14
02/16/2021,Major Injury,1
02/16/2021,Property Damage Only,151
02/17/2021,Possible/Unknown,17
02/17/2021,Property Damage Only,108
02/17/2021,Minor Injury,12
02/18/2021,Major Injury,3
02/18/2021,Minor Injury,16
02/18/2021,Property Damage Only,129
02/18/2021,Possible/Unknown,25
02/19/2021,Possible/Unknown,26
02/19/2021,Property Damage Only,121
02/19/2021,Major Injury,3
02/19/2021,Minor Injury,12
02/20/2021,Minor Injury,4
02/20/2021,Property Damage Only,87
02/20/2021,Major Injury,4
02/20/2021,Possible/Unknown,15
02/21/2021,Property Damage Only,169
02/21/2021,Minor Injury,22
02/21/2021,Possible/Unknown,29
02/21/2021,Major Injury,4
02/22/2021,Major Injury,1
02/22/2021,Possible/Unknown,20
02/22/2021,Minor Injury,8
02/22/2021,Fatal,1
02/22/2021,Property Damage Only,133
02/23/2021,Property Damage Only,127
02/23/2021,Major Injury,2
02/23/2021,Possible/Unknown,21
02/23/2021,Minor Injury,7
02/24/2021,Major Injury,1
02/24/2021,Property Damage Only,98
02/24/2021,Possible/Unknown,20
02/24/2021,Minor Injury,13
02/25/2021,Possible/Unknown,27
02/25/2021,Major Injury,3
02/25/2021,Minor Injury,12
02/25/2021,Property Damage Only,112
02/26/2021,Possible/Unknown,24
02/26/2021,Major Injury,2
02/26/2021,Property Damage Only,105
02/26/2021,Minor Injury,11
02/26/2021,Fatal,3
02/27/2021,Fatal,1
02/27/2021,Major Injury,3
02/27/2021,Possible/Unknown,27
02/27/2021,Property Damage Only,91
02/27/2021,Minor Injury,12
02/28/2021,Minor Injury,10
02/28/2021,Property Damage Only,65
02/28/2021,Possible/Unknown,15
03/01/2021,Minor Injury,7
03/01/2021,Possible/Unknown,19
03/01/2021,Property Damage Only,85
03/02/2021,Fatal,2
03/02/2021,Property Damage Only,72
03/02/2021,Minor Injury,11
03/02/2021,Possible/Unknown,21
03/02/2021,Major Injury,1
03/03/2021,Major Injury,1
03/03/2021,Possible/Unknown,24
03/03/2021,Minor Injury,13
03/03/2021,Property Damage Only,88
03/03/2021,Fatal,1
03/04/2021,Major Injury,3
03/04/2021,Property Damage Only,78
03/04/2021,Minor Injury,12
03/04/2021,Possible/Unknown,17
03/05/2021,Possible/Unknown,9
03/05/2021,Minor Injury,2
03/05/2021,Property Damage Only,80
03/05/2021,Major Injury,4
03/05/2021,Fatal,1
03/06/2021,Minor Injury,10
03/06/2021,Major Injury,4
03/06/2021,Possible/Unknown,22
03/06/2021,Property Damage Only,83
03/07/2021,Minor Injury,8
03/07/2021,Property Damage Only,72
03/07/2021,Fatal,1
03/07/2021,Possible/Unknown,14
03/07/2021,Major Injury,2
03/08/2021,Possible/Unknown,16
03/08/2021,Minor Injury,5
03/08/2021,Major Injury,6
03/08/2021,Fatal,2
03/08/2021,Property Damage Only,72
03/09/2021,Property Damage Only,64
03/09/2021,Minor Injury,9
03/09/2021,Fatal,2
03/09/2021,Major Injury,4
03/09/2021,Possible/Unknown,23
03/10/2021,Possible/Unknown,15
03/10/2021,Minor Injury,10
03/10/2021,Property Damage Only,56
03/10/2021,Major Injury,2
03/11/2021,Possible/Unknown,15
03/11/2021,Minor Injury,13
03/11/2021,Major Injury,3
03/11/2021,Property Damage Only,80
03/12/2021,Minor Injury,8
03/12/2021,Property Damage Only,85
03/12/2021,Fatal,1
03/12/2021,Possible/Unknown,26
03/12/2021,Major Injury,1
03/13/2021,Major Injury,2
03/13/2021,Minor Injury,15
03/13/2021,Property Damage Only,87
03/13/2021,Possible/Unknown,15
03/14/2021,Property Damage Only,46
03/14/2021,Fatal,3
03/14/2021,Minor Injury,7
03/14/2021,Possible/Unknown,14
03/14/2021,Major Injury,1
03/15/2021,Possible/Unknown,25
03/15/2021,Property Damage Only,140
03/15/2021,Minor Injury,16
03/16/2021,Minor Injury,14
03/16/2021,Possible/Unknown,17
03/16/2021,Property Damage Only,84
03/17/2021,Possible/Unknown,15
03/17/2021,Property Damage Only,79
03/17/2021,Minor Injury,5
03/18/2021,Property Damage Only,63
03/18/2021,Fatal,1
03/18/2021,Major Injury,4
03/18/2021,Minor Injury,5
03/18/2021,Possible/Unknown,18
03/19/2021,Minor Injury,7
03/19/2021,Fatal,1
03/19/2021,Possible/Unknown,35
03/19/2021,Major Injury,3
03/19/2021,Property Damage Only,96
03/20/2021,Major Injury,2
03/20/2021,Property Damage Only,79
03/20/2021,Possible/Unknown,26
03/20/2021,Minor Injury,14
03/21/2021,Property Damage Only,53
03/21/2021,Major Injury,7
03/21/2021,Minor Injury,7
03/21/2021,Possible/Unknown,15
03/22/2021,Minor Injury,9
03/22/2021,Property Damage Only,83
03/22/2021,Possible/Unknown,38
03/23/2021,Major Injury,1
03/23/2021,Property Damage Only,85
03/23/2021,Minor Injury,10
03/23/2021,Possible/Unknown,21
03/24/2021,Minor Injury,5
03/24/2021,Possible/Unknown,28
03/24/2021,Property Damage Only,86
03/24/2021,Major Injury,4
03/25/2021,Possible/Unknown,22
03/25/2021,Property Damage Only,84
03/25/2021,Major Injury,1
03/25/2021,Minor Injury,11
